# ID            zspec   qz    identified_line  other_names               RA                   Dec                  Flux_deb_scuba2      Fluxerr_deb_scuba2      Flux_errhi_deb_scuba2   RMS                   BMAJ                 BMIN                 SNR_peak             Flux_alma_870um      Flux_final_errlo      Fluxerr_alma_870um      
AS2COS0001.1    4.6237  3     "CO54;CII"       AzTECC3a_COSLA4_AzTEC2    150.03349503711394   2.4367479914136108   16.8201813773612     0.9975897253696778      0.8853443295751956      0.11830832927852214   0.7962327599526      0.7732722759246      104.51765177484842   13.49403132478143    0.2536116144551528    0.2635168737785758    
AS2COS0002.1    4.5956  3     "CO54;CII"       AzTECC7_COSLA1_MM1        150.06504687580957   2.2636174798120647   13.348992193121942   1.3745605962322998      0.7026413399483022      0.11540808526480625   0.80457770824416     0.76185023784624     85.72957902785043    13.244222314904285   0.2495364290182085    0.2593077431354551    
AS2COS0006.1    4.6183  3     "CO54;CII"       AzTECC14_COSLA3_AzTEC9    149.98870988541915   2.458497203998716    11.957089680938996   1.5163985056367828      0.7919181430021407      0.18261953379832307   0.80662280321124     0.79290306568152     65.53755800496727    16.610803142469248   0.381840050443336     0.40024109696010285   
AS2COS0008.1    3.5811  1.5   "CO43"           COSMOS02                  150.7049651246549    2.548741796689572    19.602063970841577   1.5303669394030806      1.668713747795202       0.19124816231462327   0.80561506748184     0.7931866645814399   67.67029404968879    18.267025021703095   0.4029231932897772    0.42151839846845635   
AS2COS0009.1    2.2599  1.5   "CO32"           AzTEC19a                  150.1196712781906    2.534334718215301    9.900269881036476    1.2505736910752265      0.9591699931904216      0.18142224152162917   0.8033117055894      0.79448974132536     53.67660842538892    13.085392857096213   0.31378744919739165   0.32959480223469206   
AS2COS0011.1    4.7830  3     "CI10;CO54"      AzTECC1a_COSLA89          150.42398403137463   2.4535827577393863   17.314695526459317   2.0950147475234004      1.4057117482540704      0.18739480691717936   0.80514907836912     0.79354590177528     71.35793284439661    19.240112767358397   0.39665741776131713   0.4137158912857143    
AS2COS0013.1    2.6079  3     "CO10;CO32"      AzTECC18_AzTEC12          150.1470688025749    2.7314438518260893   12.802475443423825   1.4169027306165152      1.1676649151502563      0.18681973469629967   0.8049995303155201   0.79344701766972     60.71744907475233    15.512936287257606   0.35983105279447586   0.3773360871722764    
AS2COS0014.1    2.9202  1.5   "CO32"           AzTECC11                  150.4209981462995    2.068020563119491    13.373497787976664   1.495079001785255       1.15838110461738        0.18823825438480216   0.80691987276072     0.79289072751996     64.54323428322914    14.833523695798007   0.34390925333206634   0.36063144186152346   
AS2COS0023.1    4.3411  2     "CO43;CO54"      AzTECC5_AzTEC1            149.92856947127063   2.493942598825736    14.202424305967357   1.7314824183526856      1.3285695018947834      0.19300656924678306   0.80694490671144     0.7888372540473599   68.86064557988824    15.836915295796539   0.34074415001891584   0.3560662621315734    
AS2COS0028.1    3.0965  2     "CO32;CO43"      AzTECC2a_AzTEC8           149.9972117527555    2.5780504619553377   12.524053034584774   1.5411007420834988      1.226829373990732       0.188634586475543     0.80466848611848     0.7914508581160801   59.85252099054294    13.514938112683241   0.3114643850747534    0.326514027158078     
AS2COS0031.1    3.6432  2     "CO43;CI10"      ""                        149.84585602056094   2.860418682177139    14.811892027177764   1.7620846488770567      1.5799151345568685      0.19858302714622245   0.81132972240456     0.7857306599616      52.55752783089742    18.09122293765571    0.4403096230471593    0.46283905520681673   
AS2COS0037.1    -99.99  0     ""               AzTEC7                    150.0752230043448    2.808445941221105    10.97807373999517    1.5363055987055123      1.2794806592407006      0.19796563066080858   0.8118190169334      0.78508168458948     55.61882955570746    12.819829152117071   0.30347281809079607   0.31855455553630596   
AS2COS0044.1    2.5793  1.5   "CO32"           COSMOS08                  149.79305879562      2.815479260497013    13.453155753566778   1.9018527729297876      1.5890002662922758      0.19253053416284682   0.80684274435048     0.78336751461012     57.939718113510466   13.523389919241017   0.31425022354609683   0.3295668655711525    
AS2COS0054.1    3.1755  1.5   "CO43"           COSMOS11                  149.6914049091282    2.72481195753922     12.421326273795959   1.7963402588937942      1.5803097535157296      0.20417643938247332   0.80855864286408     0.7825442552567999   44.08142354418431    12.401499190868426   0.38374414659293443   0.40905950366788135   
