# ID             zHa               zabs          zLya          FHa        e_FHa           radius_Ha         Mstar
Q1700-MD94       2.3362            nan           nan           2.8e-17    0.3e-17            9.6            15.3e10     
Q1700-MD103      2.3148            nan           nan           4.1e-17    0.8e-17            8.4            6.6e10      
Q1700-MD109      2.2942            nan           nan           8.9e-17    0.7e-17            4.1            1.7e10      
Q1700-MD154      2.6291            nan           nan           7.5e-17    0.5e-17            8.2            4.4e10      
Q1700-MD174      2.3423            nan           nan           12.9e-17   1.4e-17            3.6            23.6e10     
Q2343-BM133      1.4774            1.4769        nan           28.7e-17   0.8e-17            7.7            0.5e10      
Q2343-BM181      1.4951            1.4952        nan           3.4e-17    0.5e-17            7.7            nan         
Q2343-BX163      2.1213            nan           nan           2.2e-17    0.4e-17            4.1            1.3e10      
Q2343-BX169      2.2094            2.2105        2.2173        4.7e-17    0.3e-17            3.1            0.9e10      
Q2343-BX182      2.2879            2.2857        2.2909        2.4e-17    0.3e-17            2.6            0.4e10      
Q2343-BX236      2.4348            2.4304        2.4372        3.1e-17    0.6e-17            4.8            2.1e10      
Q2343-BX336      2.5439            2.5448        2.5516        4.3e-17    0.6e-17            5.0            1.9e10      
Q2343-BX341      2.5749            2.5715        nan           4.0e-17    0.6e-17            2.4            0.5e10      
Q2343-BX378      2.0441            nan           nan           4.5e-17    1.0e-17            7.4            0.3e10      
Q2343-BX389      2.1716            2.1722        nan           12.0e-17   0.4e-17            10.1           6.1e10      
Q2343-BX390      2.2313            2.2290        nan           4.9e-17    0.5e-17            10.8           0.7e10      
Q2343-BX391      2.1740            2.1714        nan           4.2e-17    0.2e-17            6.0            0.2e10      
Q2343-BX418      2.3052            2.3030        2.3084        8.0e-17    0.2e-17            3.6            0.1e10      
Q2343-BX429      2.1751            nan           nan           4.8e-17    0.3e-17            9.4            0.4e10      
Q2343-BX435      2.1119            2.1088        2.1153        8.1e-17    0.4e-17            8.9            4.4e10      
Q2343-BX436      2.3277            2.3253        2.3315        7.2e-17    0.4e-17            9.1            1.1e10      
Q2343-BX442      2.1760            nan           nan           7.1e-17    0.3e-17            10.6           14.7e10     
Q2343-BX461      2.5662            2.5649        2.5759        7.0e-17    0.7e-17            7.7            0.1e10      
Q2343-BX474      2.2257            2.2263        nan           5.0e-17    0.3e-17            7.0            7.2e10      
Q2343-BX480      2.2313            2.2297        2.2352        3.0e-17    0.2e-17            3.4            3.0e10      
Q2343-BX493      2.3396            2.3375        2.3447        5.3e-17    0.9e-17            6.5            0.1e10      
Q2343-BX513      2.1092            2.1090        2.114         10.1e-17   0.4e-17            4.1            5.9e10      
Q2343-BX529      2.1129            2.1116        2.1190        3.5e-17    0.5e-17            $<1.9$         0.6e10      
Q2343-BX537      2.3396            nan           nan           5.2e-17    0.3e-17            5.3            0.8e10      
Q2343-BX587      2.2430            2.2382        nan           5.5e-17    0.4e-17            7.7            3.5e10      
Q2343-BX599      2.0116            2.0112        nan           4.5e-17    0.4e-17            7.2            3.3e10      
Q2343-BX601      2.3769            2.3745        2.3823        7.4e-17    0.4e-17            5.3            2.3e10      
Q2343-BX610      2.2094            2.2083        2.2129        8.1e-17    0.4e-17            8.4            23.2e10     
Q2343-BX660      2.1735            2.1709        2.1771        9.4e-17    0.4e-17            6.2            1.4e10      
Q2343-MD59       2.0116            2.0107        nan           2.9e-17    0.4e-17            5.5            7.6e10      
Q2343-MD62       2.1752            2.1740        nan           2.3e-17    0.3e-17            6.7            1.9e10      
Q2343-MD80       2.0138            2.0116        nan           3.2e-17    0.3e-17            2.6            0.6e10      
Q2346-BX120      2.2664            nan           nan           5.3e-17    0.3e-17            6.2            nan         
Q2346-BX220      1.9677            1.9664        nan           10.3e-17   0.6e-17            6.5            1.7e10      
Q2346-BX244      1.6465            1.6462        1.6516        5.4e-17    0.8e-17            7.7            nan         
Q2346-BX404      2.0282            2.0270        2.0348        13.9e-17   0.3e-17            3.6            4.0e10      
Q2346-BX405      2.0300            2.0298        2.0358        14.0e-17   0.2e-17            5.8            1.6e10      
Q2346-BX416      2.2404            2.2407        nan           12.1e-17   0.7e-17            4.3            2.5e10      
Q2346-BX482      2.2569            2.2575        nan           11.2e-17   0.3e-17            9.8            nan         
SSA22a-MD41      2.1713            nan           nan           7.9e-17    0.1e-17            9.6            nan         
West-BM115       1.6065            1.6060        nan           5.9e-17    0.4e-17            5.5            nan         
West-BX600       2.1607            nan           nan           6.3e-17    0.4e-17            8.2            nan         
