# ID              RA_HMS           DEC_DMS         z            MAG_R   MAGERR_R     G_minus_R  e_G_minus_R  U_minus_G  e_U_minus_G  R_minus_K  e_R_minus_K  MAG_IRAC1  MAGERR_IRAC1  MAG_IRAC2  MAGERR_IRAC2  MAG_IRAC3  MAGERR_IRAC3  MAG_IRAC4  MAGERR_IRAC4
Q1700-MD69        17:00:47.610     64:09:44.78     2.289        24.85       0.16        0.37       0.09        1.50       0.33        4.87       0.12        21.13       0.03         20.89       0.04         20.59       0.07         20.63       0.11
Q1700-BX810       17:01:31.117     64:13:29.357    2.290        24.68       0.16        0.36       0.09        0.87       0.18        3.99       0.19        22.92       0.23         22.78       0.23         99.99      99.99         99.99      99.99
Q1700-MD157       17:00:52.191     64:15:29.245    2.293        24.35       0.14        0.35       0.07        1.65       0.14        4.46       0.10        99.99      99.99         21.78       0.10         99.99      99.99         21.57       0.12
Q1700-MD109       17:01:04.482     64:12:09.293    2.294        25.46       0.16        0.26       0.10        1.44       0.37        3.60       0.28        23.12       0.11         22.86       0.10         99.99      99.99         99.99      99.99
Q1700-BX563       17:01:15.755     64:10:27.088    2.296        23.82       0.12        0.42       0.07        0.86       0.09        3.15       0.18        99.99      99.99         21.80       0.28         99.99      99.99         99.99      99.99
Q1700-BX939       17:00:52.915     64:14:36.023    2.296        24.46       0.14        0.38       0.07        0.69       0.13        3.46       0.19        99.99      99.99         23.05       0.13         99.99      99.99         99.99      99.99
Q1700-BX984       17:01:02.164     64:14:56.440    2.299        23.51       0.12        0.17       0.04        0.72       0.06        3.44       0.14        99.99      99.99         22.23       0.10         99.99      99.99         99.99      99.99
Q1700-BX919       17:00:33.909     64:14:21.626    2.301        24.43       0.14        0.03       0.06        0.65       0.10        2.70       0.41        99.99      99.99         23.51       0.23         99.99      99.99         99.99      99.99
Q1700-BX917       17:01:16.110     64:14:19.801    2.302        24.43       0.14        0.28       0.07        0.95       0.13        4.04       0.12        99.99      99.99         22.05       0.13         99.99      99.99         22.19       0.37
Q1700-BX1133      17:01:03.294     64:16:19.717    2.303        24.38       0.14        0.14       0.06        0.82       0.13        3.33       0.23        99.99      99.99         22.85       0.10         99.99      99.99         99.99      99.99
Q1700-BX879       17:01:17.768     64:13:55.116    2.308        23.50       0.12        0.61       0.04        1.40       0.19        2.84       0.22        22.22       0.34         22.22       0.15         99.99      99.99         99.99      99.99
Q1700-BX505       17:00:48.224     64:10:05.862    2.309        25.17       0.16        0.45       0.12        1.28       0.26        4.36       0.19        22.23       0.10         22.11       0.10         22.49       0.17         22.10       0.15
Q1700-BX585       17:01:13.491     64:10:58.829    2.311        24.71       0.16        0.12       0.08        0.76       0.13        3.15       0.36        99.99      99.99         99.99      99.99         23.56       0.41         99.99      99.99
Q1700-MD103       17:01:00.209     64:11:55.576    2.315        24.23       0.14        0.46       0.09        1.49       0.27        3.97       0.12        21.32       0.10         21.23       0.10         21.34       0.14         99.99      99.99
Q1700-BX532       17:00:40.154     64:10:22.537    2.331        23.76       0.12        0.22       0.06        0.57       0.09        3.63       0.12        21.02       0.10         21.10       0.10         21.21       0.16         21.56       0.21
Q1700-MD94        17:00:42.020     64:11:24.224    2.333        24.72       0.16        0.94       0.15        2.06       0.25        5.15       0.15        20.59       0.08         20.43       0.03         20.35       0.22         20.28       0.14
Q1700-BX772       17:00:53.076     64:13:04.566    2.346        24.96       0.16        0.20       0.09        0.57       0.14        3.29       0.31        99.99      99.99         23.72       0.25         99.99      99.99         99.99      99.99
Q1700-MD174       17:00:54.542     64:16:24.760    2.347        24.56       0.16        0.32       0.09        1.50       0.27        4.74       0.11        99.99      99.99         20.51       0.10         99.99      99.99         18.51       0.10
Q1700-BX490       17:01:14.831     64:09:51.691    2.403        22.88       0.06        0.36       0.03        0.92       0.05        2.88       0.10        22.05       0.10         22.08       0.10         21.95       0.11         22.13       0.30
Q1700-BX581       17:01:02.726     64:10:51.299    2.406        23.87       0.12        0.28       0.06        0.62       0.10        3.21       0.15        23.11       0.15         23.17       0.14         22.60       0.21         21.94       0.19
