# ID           RA_HMS       DEC_DMS      RA            DEC          z     MAG_R MAGERR_R G_minus_R e_G_minus_R U_minus_G e_U_minus_G R_minus_K e_R_minus_K MAG_IRAC1 MAGERR_IRAC1 MAG_IRAC2 MAGERR_IRAC2 MAG_IRAC3 MAGERR_IRAC3 MAG_IRAC4 MAGERR_IRAC4 logMstar_CSFH e_logMstar_CSFH EBV_CSFH SFR_CSFH Age_CSFH logMstar_tSFH e_logMstar_tSFH EBV_tSFH SFR_tSFH Age_tSFH tau_tSFH MAG_G     MAGERR_G            MAG_U     MAGERR_U            MAG_Ks    MAGERR_Ks           FLUX_R                FLUXERR_R             FLUX_G                FLUXERR_G             FLUX_U                FLUXERR_U             FLUX_Ks               FLUXERR_Ks            FLUX_IRAC1            FLUXERR_IRAC1         FLUX_IRAC2            FLUXERR_IRAC2         FLUX_IRAC3            FLUXERR_IRAC3         FLUX_IRAC4            FLUXERR_IRAC4        
  Q1700-BX1032 17:00:52.827 64:15:23.792 255.220112500 +64.25660889 1.883 23.76 0.12     0.18      0.04        0.62      0.06        3.04      0.18        99.99     99.99        22.37     0.1          99.99     99.99        22.59     0.3          10.08         0.16            0.2      53       227      10.12         0.11            0.1      4        102      20       23.94     0.11999999731779099 24.560001 0.11999999731779099 20.720001 0.18000000715255737 1.1376958066636293E-6 1.2571224102034765E-7 9.63886805431506E-7   1.0650682694883501E-7 5.445348750167557E-7  6.016959810446992E-8  1.87079310512541E-5   3.1007621759072635E-6 ""                    ""                    4.092850799751763E-6  3.7687392824493484E-7 ""                    ""                    3.342151925334237E-6  9.232464249003928E-7 
  Q1700-BX782  17:01:11.146 64:13:14.360 255.296441667 +64.22065556 1.93  23.94 0.12     0.05      0.04        0.59      0.09        2.97      0.22        22.18     0.15         22.35     0.11         99.99     99.99        99.99     99.99        10.39         0.11            0.1      24       1015     10.33         0.07            0.0      6        360      100      23.99     0.11999999731779099 24.58     0.11999999731779099 20.970001 0.2199999988079071  9.63886805431506E-7   1.0650682694883501E-7 9.205053997836382E-7  1.0171330157002641E-7 5.345967071990671E-7  5.9071458038662925E-8 1.4860237847286254E-5 3.010361241885996E-6  4.875578203477119E-6  6.734224305545842E-7  4.1689443349104995E-6 4.2226876091645533E-7 ""                    ""                    ""                    ""                   
  Q1700-BX530  17:00:36.859 64:10:17.376 255.153579167 +64.17149333 1.942 23.05 0.11     0.21      0.05        0.69      0.05        2.8       0.15        21.73     0.1          21.88     0.1          99.99     99.99        22.19     0.33         9.84          0.21            0.34     699      10       10.29         0.09            0.08     1        72       10       23.259998 0.10999999940395355 23.949999 0.10999999940395355 20.25     0.15000000596046448 2.187895394454677E-6  2.2161002954505264E-7 1.8031295066870873E-6 1.8263742602286434E-7 9.550513145187867E-7  9.673632046759814E-8  2.8842058202838686E-5 3.983709854823081E-6  7.379491418019843E-6  6.795111904219921E-7  6.427270595687934E-6  5.918297137625901E-7  ""                    ""                    4.830877615440446E-6  1.4679462950669896E-6
  Q1700-BX807  17:00:54.909 64:13:28.593 255.228787500 +64.22460917 1.971 24.83 0.16     0.08      0.08        0.45      0.11        3.04      0.36        99.99     99.99        23.49     0.1          99.99     99.99        99.99     99.99        9.86          0.16            0.1      10       719      9.85          0.14            0.01     3        321      100      24.91     0.1599999964237213  25.36     0.1599999964237213  21.79     0.36000001430511475 4.246452587188472E-7  6.256283598192059E-8  3.9448119937520487E-7 5.811877577279749E-8  2.6063096064570673E-7 3.8398667376817795E-8 6.982740179601402E-6  2.3147205935040554E-6 ""                    ""                    1.4589027417407811E-6 1.3433727103868563E-7 ""                    ""                    ""                    ""                   
  Q1700-BX903  17:00:54.431 64:14:14.761 255.226795833 +64.23743361 1.976 24.39 0.14     0.18      0.06        0.5       0.11        2.99      0.28        99.99     99.99        22.8      0.1          99.99     99.99        99.99     99.99        10.1          0.16            0.14     22       571      10.11         0.2             0.1      13       360      200      24.57     0.14000000059604645 25.07     0.14000000059604645 21.4      0.2800000011920929  6.368343682179903E-7  8.209651190617081E-8  5.395433833677776E-7  6.955439594206425E-8  3.4042886040159243E-7 4.388585696052887E-8  1.0000607935499877E-5 2.5784256297068315E-6 ""                    ""                    2.7543971104264143E-6 2.536277303379493E-7  ""                    ""                    ""                    ""                   
  Q1700-BX536  17:01:08.939 64:10:24.949 255.287245833 +64.17359694 1.977 23.0  0.11     0.21      0.05        0.79      0.05        3.27      0.1         21.23     0.1          21.2      0.1          21.23     0.1          21.83     0.12         10.65         0.06            0.23     138      321      10.74         0.06            0.09     20       203      50       23.21     0.10999999940395355 24.0      0.10999999940395355 19.73     0.10999999940395355 2.291006117807585E-6  2.3205402540818442E-7 1.8881070555245256E-6 1.9124472834465774E-7 9.120659632811292E-7  9.23823714708016E-8   4.6561443087281835E-5 4.716168242954161E-6  1.1695705712244887E-5 1.0769526599009652E-6 1.2023362572294718E-5 1.1071236419389301E-6 1.1695705712244887E-5 1.0769526599009652E-6 6.730173797543909E-6  7.436655963660553E-7 
  Q1700-BX412  17:01:20.109 64:08:37.363 255.333787500 +64.14371194 1.981 23.58 0.12     0.31      0.06        0.63      0.06        3.31      0.15        22.13     0.1          22.23     0.1          22.32     0.14         99.99     99.99        10.24         0.18            0.2      61       286      10.28         0.15            0.12     16       161      50       23.89     0.11999999731779099 24.519999 0.11999999731779099 20.27     0.15000000596046448 1.342846215143032E-6  1.4838079393680444E-7 1.0093144549139652E-6 1.1152645661370486E-7 5.649718751389033E-7  6.242783011169036E-8  2.8315619374780992E-5 3.910997306621907E-6  5.105362506368083E-6  4.7010705179041553E-7 4.656144308728184E-6  4.2874257625323573E-7 4.285745432676935E-6  5.524902054597369E-7  ""                    ""                   
  Q1700-BX526  17:00:58.040 64:10:15.947 255.241833333 +64.17109639 2.018 23.99 0.12     0.0       0.04        0.45      0.09        2.25      0.42        22.9      0.24         22.94     0.23         23.05     0.34         99.99     99.99        10.06         0.15            0.04     16       719      9.97          0.18            0.0      8        255      100      23.99     0.11999999731779099 24.44     0.11999999731779099 21.74     0.41999998688697815 9.205053997836382E-7  1.0171330157002641E-7 9.205053997836382E-7  1.0171330157002641E-7 6.081714591345607E-7  6.720126470064854E-8  7.311834292643038E-6  2.8277811298617246E-6 2.5120391380029194E-6 5.551467584208772E-7  2.4211741880745166E-6 5.127717065921407E-7  2.187895394454677E-6  6.849764658739538E-7  ""                    ""                   
  Q1700-BX1075 17:00:51.215 64:15:47.515 255.213395833 +64.26319861 2.061 24.83 0.16     0.3       0.09        0.89      0.18        2.92      0.54        99.99     99.99        24.46     0.48         99.99     99.99        99.99     99.99        8.98          0.31            0.3      115      8        8.97          0.31            0.3      88       7        10       25.13     0.1599999964237213  26.019999 0.18000000715255737 21.91     0.5400000214576721  4.246452587188472E-7  6.256283598192059E-8  3.2212659696267547E-7 4.745879775507697E-8  1.419145187345937E-7  2.3521744371343094E-8 6.252105674436564E-6  3.1087819505997956E-6 ""                    ""                    5.970718761691505E-7  2.6389916588886363E-7 ""                    ""                    ""                    ""                   
  Q1700-BX625  17:01:11.493 64:11:29.242 255.297887500 +64.19145611 2.078 24.52 0.16     -0.03     0.07        0.49      0.06        2.96      0.54        23.28     0.1          23.28     0.1          99.99     99.99        99.99     99.99        10.04         0.12            0.07     12       905      10.02         0.1             0.01     6        454      200      24.49     0.1599999964237213  24.98     0.1599999964237213  21.560001 0.5400000214576721  5.649708826350328E-7  8.323696059034246E-8  5.807996426271615E-7  8.556900620924903E-8  3.698506889373571E-7  5.4489971369510124E-8 8.630296164717178E-6  4.291307655739725E-6  1.7702148280389044E-6 1.6300320943067778E-7 1.7702148280389044E-6 1.6300320943067778E-7 ""                    ""                    ""                    ""                   
