# ID             RA            DEC          z      FLUX_U      FLUXERR_U   FLUX_G      FLUXERR_G   FLUX_R      FLUXERR_R   FLUX_J      FLUXERR_J   FLUX_Ks     FLUXERR_Ks  tau   Age  zHa    zabs   zLya   e_FHa   n_Name LHa F1500 L1500 WHa  n_WHa Mstar_SED     SFR_SED SFR_UV_CORR SFR_Ha_CORR ID__dup__2   zHa__dup__2 ID__dup__3   MAG_B_AB MAGERR_B_AB MAG_G_AB MAGERR_G_AB MAG_H_Vega MAGERR_H_Vega MAG_Ks_Vega MAGERR_Ks_Vega FLUX_B FLUXERR_B ID__dup__4  SFH    Age__dup__4 ehi_Age elo_Age A_V_MAG E_A_V_MAG Mstar            e_Mstar         Ref_Mstar             ehi_Mstar     elo_Mstar    MAG_V_AB ehi_MAG_V_AB elo_MAG_V_AB SFR   e_SFR Ref_SFR               ehi_SFR elo_SFR sSFR ehi_sSFR elo_sSFR ID__dup__5  MAG_F160W MAGERR_F160W FLUX_F160W            FLUXERR_F160W        
  HDF-BX1368     189.201000000 +62.26562222 2.4407 3.467369E-7 5.929663E-9 8.3946E-7   3.507761E-8 1.106624E-6 4.753681E-8 1.631669E-6 6.755571E-8 3.673345E-6 1.399883E-7 const 404  2.4407 2.438  2.4455 4.0E-18 ""     4.1 24.09 29.06 132  ""    1.50000005E10 37      44          59          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        1.50000005E10    ""              Erb+2006              ""            ""           ""       ""           ""           37.0  ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  HDF-BX1376     189.220666667 +62.26265278 2.4294 3.047895E-7 5.929663E-9 5.807644E-7 3.507761E-8 5.861382E-7 4.753681E-8 8.484613E-7 6.755571E-8 9.227027E-7 1.399883E-7 const 227  2.4294 2.4266 2.4338 2.0E-18 ""     1.0 24.49 28.9  266  ""    2.0E9         9       12          11          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        2.0E9            ""              Erb+2006              ""            ""           ""       ""           ""           9.0   ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  HDF-BX1388     189.186833333 +62.28773333 2.0317 1.721869E-7 5.929663E-9 4.285485E-7 3.507761E-8 5.495409E-7 4.753681E-8 3.137849E-6 6.755571E-8 6.871662E-6 1.399883E-7 const 3000 2.0317 2.0305 ""     5.0E-18 ""     1.8 24.82 28.63 265  ""    7.0000001E10  23      38          34          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        7.0000001E10     ""              Erb+2006              ""            ""           ""       ""           ""           23.0  ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  HDF-BX1397     189.267166667 +62.25273333 2.1328 3.564511E-7 5.929663E-9 7.177943E-7 3.507761E-8 8.165824E-7 4.753681E-8 2.562312E-6 6.755571E-8 2.944841E-6 1.399883E-7 const 1015 2.1328 2.1322 ""     5.0E-18 ""     1.8 24.26 28.89 90   ""    1.69999995E10 17      25          25          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        1.69999995E10    ""              Erb+2006              ""            ""           ""       ""           ""           17.0  ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  HDF-BX1409     189.197541667 +62.29130556 2.2452 1.076465E-7 5.929663E-9 3.162278E-7 3.507761E-8 4.965923E-7 4.753681E-8 1.724376E-6 6.755571E-8 6.152644E-6 1.399883E-7 const 1015 2.2452 2.2433 ""     6.0E-18 ""     3.2 25.15 28.57 207  ""    2.70000005E10 27      47          69          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        2.70000005E10    ""              Erb+2006              ""            ""           ""       ""           ""           27.0  ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  HDF-BX1439     189.223583333 +62.29007500 2.1865 3.801894E-7 5.929663E-9 7.870458E-7 3.507761E-8 1.0E-6      4.753681E-8 2.732952E-6 6.755571E-8 8.493013E-6 1.399883E-7 const 2100 2.1865 2.1854 2.1913 3.0E-18 ""     3.2 24.16 28.95 145  ""    4.4999999E10  21      36          48          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        4.4999999E10     ""              Erb+2006              ""            ""           ""       ""           ""           21.0  ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  HDF-BX1479     189.314250000 +62.26774444 2.3745 2.654606E-7 5.929663E-9 5.495409E-7 3.507761E-8 6.367955E-7 4.753681E-8 1.098075E-6 6.755571E-8 1.981809E-6 1.399883E-7 const 806  2.3745 2.3726 2.3823 2.0E-18 ""     1.1 24.55 28.86 107  ""    1.0E10        13      16          14          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        1.0E10           ""              Erb+2006              ""            ""           ""       ""           ""           13.0  ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  HDF-BX1564     189.347791667 +62.28889444 2.2225 5.445027E-7 5.929663E-9 1.380384E-6 3.507761E-8 1.770109E-6 4.753681E-8 4.619895E-6 6.755571E-8 9.312403E-6 1.399883E-7 100   360  2.2225 2.2219 ""     7.0E-18 ""     3.2 23.55 29.21 126  ""    3.29999995E10 9       23          34          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        3.29999995E10    ""              Erb+2006              ""            ""           ""       ""           ""           9.0   ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  HDF-BX1567     189.346541667 +62.28996944 2.2256 4.655861E-7 5.929663E-9 1.224616E-6 3.507761E-8 1.44544E-6  4.753681E-8 4.213394E-6 6.755571E-8 5.559833E-6 1.399883E-7 50    227  2.2256 2.2257 ""     6.0E-18 ""     1.5 23.68 29.15 93   ""    2.30000005E10 5       18          15          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        2.30000005E10    ""              Erb+2006              ""            ""           ""       ""           ""           5.0   ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
  HDF-BX305      189.154708333 +62.27454444 2.4839 1.028016E-7 5.929663E-9 3.404082E-7 3.507761E-8 7.046931E-7 4.753681E-8 1.2492E-6   6.755571E-8 5.768485E-6 1.399883E-7 const 571  2.4839 2.4825 ""     4.0E-18 ""     2.1 25.07 28.68 72   ""    3.0000001E10  53      65          43          ""           ""          ""           ""       ""          ""       ""          ""         ""            ""          ""             ""     ""        ""          ""     ""          ""      ""      ""      ""        3.0000001E10     ""              Erb+2006              ""            ""           ""       ""           ""           53.0  ""    Erb+2006              ""      ""      ""   ""       ""       ""          ""        ""           ""                    ""                   
